"MAPUNIT,C,68","PROVINCE,C,2","MU_GROUP,C,4","SN_GROUP,C,6"
PEPED103Mp:4-Sp:2-Db:2(dp/B,PE,PE75,1
PEPED103Mp:4-Sp:2-Ki:2(dp/BC,PE,PE75,1
PEPED103Mp:5-Bp:3-Ch:1(dp/B,PE,PE75,1
PEPED103Mp:5-Ki:1-Sc:1(dp/BC,PE,PE75,1
PEPED103Mp:5-Rp:3-Po:1(dp/B,PE,PE75,1
PEPED103Mp:5-Sp:2-Br:2(dp/B,PE,PE75,1
PEPED103Mp:5-Sp:2-Ha:2(dp/B,PE,PE75,1
PEPED103Mp:5-Sp:4(dp/B,PE,PE75,1
PEPED103Mp:5-Sp:4(dp/C,PE,PE75,1
PEPED103Mp:6-Bp:3(dp/B,PE,PE75,1
PEPED103Mp:6-Du:2-Wp:1(dp/B,PE,PE75,1
PEPED103Mp:6-Rp:3(dp/B,PE,PE75,1
PEPED103Mp:6-Sp:2-Ch:1(dp/B,PE,PE75,1
PEPED103Mp:7-Bp:2(dp/B,PE,PE75,1
PEPED103Mp:7-Ch:2(dp/BC,PE,PE75,1
PEPED103Mp:7-Rp:2(dp/B,PE,PE75,1
PEPED103Mp:7-Sp:2(dp/B,PE,PE75,1
PEPED103Mp:8-Ab:1(dp/B,PE,PE75,1
PEPED103Mp:8-Bp:2(dp/B,PE,PE75,1
PEPED103Mp:8-Ch:1(dp/B,PE,PE75,1
PEPED103Mp:8-Rp:1(dp/B,PE,PE75,1
PEPED103Mp:8-Sp:2(dp/B,PE,PE75,1
PEPED103Mr(dp/C,PE,PE75,1
PEPED103Mr(dp/DB,PE,PE75,1
PEPED103Mr:5-Lr:4(dp/CB,PE,PE75,1
PEPED103Mr:5-Sp:2-Ki:2(dp/BC,PE,PE75,1
PEPED103Ne/C,PE,PE75,1
PEPED103Ol(dp/B,PE,PE75,1
PEPED103Ol/B,PE,PE75,1
PEPED103Ol/C,PE,PE75,1
PEPED103Ol/CD,PE,PE75,1
PEPED103Ol/D,PE,PE75,1
PEPED103Ol:3-Du:3-Mg:2(dp/B,PE,PE75,1
PEPED103Ol:3-Du:3-Mg:2(dp/C,PE,PE75,1
PEPED103Ol:3-Eg:3-Ti:2/C,PE,PE75,1
PEPED103Ol:3-Wp:3-Sp:1(dp/BC,PE,PE75,1
PEPED103Ol:4-Ch:3-Du:1/CB,PE,PE75,1
PEPED103Ol:4-Ch:4/DE,PE,PE75,1
PEPED103Ol:4-Du:3-Mg:2(dp/B,PE,PE75,1
PEPED103Ol:4-Sm:3-Bp:1(dp/BC,PE,PE75,1
PEPED103Ol:4-Wp:3-Du:2/B,PE,PE75,1
PEPED103Ol:5-Du:2-Mg:2/B,PE,PE75,1
PEPED103Ol:5-Du:3-Mg:1/BC,PE,PE75,1
PEPED103Ol:5-Du:3-Mg:2(dp/CB,PE,PE75,1
PEPED103Ol:5-Du:3/B,PE,PE75,1
PEPED103Ol:5-Du:3/CB,PE,PE75,1
PEPED103Ol:5-Du:4/BC,PE,PE75,1
PEPED103Ol:5-Du:4/C,PE,PE75,1
PEPED103Ol:5-Du:4/CB,PE,PE75,1
PEPED103Ol:5-Du:5(dp/BC,PE,PE75,1
PEPED103Ol:5-Mg:2-Du:2/B,PE,PE75,1
PEPED103Ol:5-Ti:3/C,PE,PE75,1
PEPED103Ol:5-Ti:4/B,PE,PE75,1
PEPED103Ol:5-Ti:4/CD,PE,PE75,1
PEPED103Ol:6-Du:2/C,PE,PE75,1
PEPED103Ol:6-Du:3-Mp:1/C,PE,PE75,1
PEPED103Ol:6-Du:3-Sc:1/B,PE,PE75,1
PEPED103Ol:6-Du:3/BC,PE,PE75,1
PEPED103Ol:6-Go:3/C,PE,PE75,1
PEPED103Ol:6-Ti:1-Mg:1/CB,PE,PE75,1
PEPED103Ol:6-Ti:2-Ch:2/CD,PE,PE75,1
PEPED103Ol:6-Ti:3/BC,PE,PE75,1
PEPED103Ol:6-Ti:3/BD,PE,PE75,1
PEPED103Ol:7-Du:2/B,PE,PE75,1
PEPED103Ol:7-Du:2/CB,PE,PE75,1
PEPED103Ol:7-Mg:2/CB,PE,PE75,1
PEPED103Ol:7-Mg:3/B,PE,PE75,1
PEPED103Ol:7-Ti:2/D,PE,PE75,1
PEPED103Ol:8-Du:1/CB,PE,PE75,1
PEPED103Ol:8-Du:1/CD,PE,PE75,1
PEPED103Ol:8-Du:2/CB,PE,PE75,1
PEPED103Ol:8-Go:1/C,PE,PE75,1
PEPED103Ol:8-Ma:2/C,PE,PE75,1
PEPED103Ol:8-Ti:1/B,PE,PE75,1
PEPED103Ol:8-Ti:2/B,PE,PE75,1
PEPED103Ol:8-Ti:2/C,PE,PE75,1
PEPED103Or:3-Cr:3-Sm:1(dp/C,PE,PE75,1
PEPED103Or:3-Cr:3-Ui:2(dp/C,PE,PE75,1
PEPED103Or:3-Cu:2-Rp:2(dp/C,PE,PE75,1
PEPED103Or:3-Cu:2-Ui:1(dp/C,PE,PE75,1
PEPED103Or:3-Sc:2-Cu:2(dp/C,PE,PE75,1
PEPED103Or:4-Ch:2-Ma:1(dp/C,PE,PE75,1
PEPED103Or:4-Cu:2(dp/C,PE,PE75,1
PEPED103Or:4-Cu:3-Sc:1(dp/C,PE,PE75,1
PEPED103Or:4-Cu:4(dp/C,PE,PE75,1
PEPED103Or:4-Ui:2-Cu:1(dp/C,PE,PE75,1
PEPED103Or:4-Ui:2-Sc:1(dp/C,PE,PE75,1
PEPED103Or:4-Ui:2-Sc:1(dp/CB,PE,PE75,1
PEPED103Or:4-Ui:2-Sc:2(dp/BC,PE,PE75,1
PEPED103Or:4-Ui:3-Sc:2(dp/C,PE,PE75,1
PEPED103Or:4-Wi:2-Cu:1(dp/C,PE,PE75,1
PEPED103Or:5-Ab:2-Cu:1(dp/C,PE,PE75,1
PEPED103Or:5-Cu:2-Sc:1(dp/B,PE,PE75,1
PEPED103Or:5-Cu:2-Sc:1(dp/BC,PE,PE75,1
PEPED103Or:5-Cu:4(dp/C,PE,PE75,1
PEPED103Or:5-Sp:4(dp/B,PE,PE75,1
PEPED103Or:5-Ui:2-Cu:2(dp/C,PE,PE75,1
PEPED103Or:5-Ui:2-Sc:1(dp/BC,PE,PE75,1
PEPED103Or:6-Ma:2-Ui:1(dp/BC,PE,PE75,1
PEPED103Or:6-Ma:3(dp/C,PE,PE75,1
PEPED103Or:6-Sm:2(dp/BC,PE,PE75,1
PEPED103Or:7-Ab:2-Sc:1(dp/B,PE,PE75,1
PEPED103Or:7-Ve:1-Sc:1(dp/B,PE,PE75,1
PEPED103Pb,PE,PE75,1
PEPED103Pg,PE,PE75,1
PEPED103Pg(dp,PE,PE75,1
PEPED103Pi(dp/B,PE,PE75,1
PEPED103Po(dp/B,PE,PE75,1
PEPED103Po:4-Wn:4(dp/B,PE,PE75,1
PEPED103Po:5-Pi:5(dp/B,PE,PE75,1
PEPED103Po:6-Ar:4(dp/B,PE,PE75,1
PEPED103Po:6-Or:2(dp/B,PE,PE75,1
PEPED103Po:7-Ar:3(dp/B,PE,PE75,1
PEPED103Po:8-Ar:1(dp/B,PE,PE75,1
PEPED103Rp(dp/B,PE,PE75,1
PEPED103Rp(dp/C,PE,PE75,1
PEPED103Rp:3-Cu:3-Ui:1(dp/CB,PE,PE75,1
PEPED103Rp:3-Ui:2-Sc:2(dp/CB,PE,PE75,1
PEPED103Rp:4-Db:2-Ha:2(dp/B,PE,PE75,1
PEPED103Rp:4-Ha:2-Ki:2(dp/B,PE,PE75,1
PEPED103Rp:4-Sp:3-Ha:2(dp/BC,PE,PE75,1
PEPED103Rp:4-Sp:4(dp/B,PE,PE75,1
PEPED103Rp:4-Ui:3-Or:2(dp/CB,PE,PE75,1
PEPED103Rp:4-Wp:2-Mr:1(dp/B,PE,PE75,1
PEPED103Rp:5-Bp:4(dp/B,PE,PE75,1
PEPED103Rp:5-Mp:4(dp/B,PE,PE75,1
PEPED103Rp:5-Sm:3(dp/B,PE,PE75,1
PEPED103Rp:5-Ui:1-Sm:1(dp/BC,PE,PE75,1
PEPED103Rp:5-Ui:2(dp/BC,PE,PE75,1
PEPED103Rp:5-Ui:4(dp/BC,PE,PE75,1
PEPED103Rp:5-Wp:1(dp/B,PE,PE75,1
PEPED103Rp:6-Ab:3(dp/B,PE,PE75,1
PEPED103Rp:6-Ki:1-Cp:1(dp/BC,PE,PE75,1
PEPED103Rp:6-Ki:2-Mp:1(dp/B,PE,PE75,1
PEPED103Rp:6-Ki:3(dp/BC,PE,PE75,1
PEPED103Rp:6-Lr:1-Wp:1(dp/B,PE,PE75,1
PEPED103Rp:6-Mp:3(dp/B,PE,PE75,1
PEPED103Rp:6-Sp:2(dp/B,PE,PE75,1
PEPED103Rp:6-Ui:3(dp/C,PE,PE75,1
PEPED103Rp:6-Wp:3(dp/B,PE,PE75,1
PEPED103Rp:7-Cp:1-Ki:1(dp/B,PE,PE75,1
PEPED103Rp:7-Mg:1-Ki:1(dp/BD,PE,PE75,1
PEPED103Rp:7-Sc:2(dp/B,PE,PE75,1
PEPED103Rp:7-Ui:1-Wi:1(dp/BC,PE,PE75,1
PEPED103Rp:8-Cp:2(dp/B,PE,PE75,1
PEPED103Sc,PE,PE75,1
PEPED103Sc(dp,PE,PE75,1
PEPED103Sc:3-Sp:3-Mp:2(dp/B,PE,PE75,1
PEPED103Sc:4-Or:3-Ui:3(dp/B,PE,PE75,1
PEPED103Sc:4-Or:3-Wn:1(dp/BC,PE,PE75,1
PEPED103Sc:4-Wn:3-Ma:2(dp/C,PE,PE75,1
PEPED103Sc:6-Bp:3(dp/B,PE,PE75,1
PEPED103Sc:6-Mp:2-Ha:1(dp/B,PE,PE75,1
PEPED103Sc:6-Or:2(dp/B,PE,PE75,1
PEPED103Sc:7-Ve:2(dp/B,PE,PE75,1
PEPED103Sm(dp/B,PE,PE75,1
PEPED103Sm:4-Du:2-Ti:2(dp/C,PE,PE75,1
PEPED103Sm:4-Du:3-Mg:1(dp/BC,PE,PE75,1
PEPED103Sm:4-Em:4(dp/BE,PE,PE75,1
PEPED103Sm:4-Sc:3-Cb:1(dp/B,PE,PE75,1
PEPED103Sm:4-Wn:3-Ma:2(dp/B,PE,PE75,1
PEPED103Sm:4-Wn:3-Ma:3(dp/B,PE,PE75,1
PEPED103Sm:5-Sc:5(dp/B,PE,PE75,1
PEPED103Sm:6-Ab:4(dp/B,PE,PE75,1
PEPED103Sm:6-Cb:4(dp/B,PE,PE75,1
PEPED103Sm:6-Sp:3(dp/B,PE,PE75,1
PEPED103Sm:7-Cb:3(dp/B,PE,PE75,1
PEPED103Sm:7-Fr:2(dp/B,PE,PE75,1
PEPED103Sp(dp/B,PE,PE75,1
PEPED103Sp:3-Ha:2-Ki:2/B,PE,PE75,1
PEPED103Sp:3-Ha:2-Wp:2(dp/BC,PE,PE75,1
PEPED103Sp:3-Ha:3-Mp:2(dp/B,PE,PE75,1
PEPED103Sp:3-Hab:2-Ha:2/BC,PE,PE75,1
PEPED103Sp:3-Ma:3-Ch:2(dp/BC,PE,PE75,1
PEPED103Sp:3-Mp:3-Du:1(dp/BC,PE,PE75,1
PEPED103Sp:4-Ch:4(dp/B,PE,PE75,1
PEPED103Sp:4-Ha:3(dp/B,PE,PE75,1
PEPED103Sp:4-Ha:3-Wp:2(dp/B,PE,PE75,1
PEPED103Sp:4-Ha:3-Wp:2(dp/BC,PE,PE75,1
PEPED103Sp:4-Hab:3-Ha:2/B,PE,PE75,1
PEPED103Sp:4-Ki:2-Ha:2/BD,PE,PE75,1
PEPED103Sp:4-Mp:2-Ha:2(dp/B,PE,PE75,1
PEPED103Sp:5-Bp:2-Sc:1(dp/B,PE,PE75,1
PEPED103Sp:5-Ha:2(dp/BC,PE,PE75,1
PEPED103Sp:5-Ha:4(dp/B,PE,PE75,1
PEPED103Sp:5-Ki:2-Ha:1/C,PE,PE75,1
PEPED103Sp:5-Mp:4(dp/B,PE,PE75,1
PEPED103Sp:5-Mp:4(dp/CB,PE,PE75,1
PEPED103Sp:5-Wi:3(dp/B,PE,PE75,1
PEPED103Sp:6-Ch:2(dp/B,PE,PE75,1
PEPED103Sp:6-Ch:3(dp/B,PE,PE75,1
PEPED103Sp:6-Go:3(dp/B,PE,PE75,1
PEPED103Sp:6-Ha:4(dp/B,PE,PE75,1
PEPED103Sp:6-Mp:3(dp/B,PE,PE75,1
PEPED103Sp:6-Wp:4(dp/BC,PE,PE75,1
PEPED103Sp:7-Ha:2(dp/B,PE,PE75,1
PEPED103Sp:8-Ol:1(dp/B,PE,PE75,1
PEPED103Ti/B,PE,PE75,1
PEPED103Ti/BD,PE,PE75,1
PEPED103Ti/C,PE,PE75,1
PEPED103Ti/CD,PE,PE75,1
PEPED103Ti/D,PE,PE75,1
PEPED103Ti/ED,PE,PE75,1
PEPED103Ti/FD,PE,PE75,1
PEPED103Ti:4-Ch:3-Ma:2/C,PE,PE75,1
PEPED103Ti:4-Du:3-Sm:2(dp/C,PE,PE75,1
PEPED103Ti:4-Mg:2-Sm:2(dp/CB,PE,PE75,1
PEPED103Ti:5-Ch:4/BC,PE,PE75,1
PEPED103Ti:5-Ch:4/CD,PE,PE75,1
PEPED103Ti:5-Ch:5/BC,PE,PE75,1
PEPED103Ti:5-Du:2-Ol:2/B,PE,PE75,1
PEPED103Ti:5-Du:5(dp/B,PE,PE75,1
PEPED103Ti:5-Ma:4/C,PE,PE75,1
PEPED103Ti:5-Ol:4/B,PE,PE75,1
PEPED103Ti:5-Ol:4/C,PE,PE75,1
PEPED103Ti:5-Ol:4/CD,PE,PE75,1
PEPED103Ti:6-Ch:2-Ol:1/C,PE,PE75,1
PEPED103Ti:6-Ch:2/C,PE,PE75,1
PEPED103Ti:6-Ch:3/B,PE,PE75,1
PEPED103Ti:6-Ch:3/C,PE,PE75,1
PEPED103Ti:6-Ch:3/D,PE,PE75,1
PEPED103Ti:6-Du:2/CD,PE,PE75,1
PEPED103Ti:6-Mg:2/C,PE,PE75,1
PEPED103Ti:6-Ol:2-Fp:1/C,PE,PE75,1
PEPED103Ti:6-Ol:4/B,PE,PE75,1
PEPED103Ti:7-Ch:1/CD,PE,PE75,1
PEPED103Ti:7-Ch:3(dp/BC,PE,PE75,1
PEPED103Ti:7-Fp:2/C,PE,PE75,1
PEPED103Ti:8-Ch:1/BC,PE,PE75,1
PEPED103Ti:8-Ch:1/C,PE,PE75,1
PEPED103Ti:8-Ch:1/ED,PE,PE75,1
PEPED103Ti:8-Du:1/DC,PE,PE75,1
PEPED103Ti:8-Em:2/C,PE,PE75,1
PEPED103Ti:8-Fp:1/C,PE,PE75,1
PEPED103Ti:8-Fp:2/C,PE,PE75,1
PEPED103Ti:8-Ha:2/C,PE,PE75,1
PEPED103Ti:8-Ol:1/B,PE,PE75,1
PEPED103Ti:8-Ol:1/CD,PE,PE75,1
PEPED103Ui(dp/C,PE,PE75,1
PEPED103Ui:4-Or:3-Wi:1(dp/CB,PE,PE75,1
PEPED103Ui:4-Wi:3-Rp:2(dp/C,PE,PE75,1
PEPED103Ui:5-Or:3-Hz:1(dp/CB,PE,PE75,1
PEPED103Ui:5-Or:4-Sc:1(dp/C,PE,PE75,1
PEPED103Ui:5-Sc:2-Or:2(dp/BC,PE,PE75,1
PEPED103Ui:6-Or:3(dp/C,PE,PE75,1
PEPED103Ui:6-Rp:4(dp/C,PE,PE75,1
PEPED103Ui:7-Rp:3(dp/C,PE,PE75,1
PEPED103Ve(dp/B,PE,PE75,1
PEPED103Ve+Pi(dp,PE,PE75,1
PEPED103Wf:4-Eg:3(dp/B,PE,PE75,1
PEPED103Wf:6-Fp:3(dp/C,PE,PE75,1
PEPED103Wi(dp/B,PE,PE75,1
PEPED103Wi:5-Cu:3(dp/BD,PE,PE75,1
PEPED103Wi:5-Mp:4(dp/B,PE,PE75,1
PEPED103Wi:5-Rp:5(dp/B,PE,PE75,1
PEPED103Wi:7-Rp:1-Bp:1(dp/B,PE,PE75,1
PEPED103Wi:7-Sc:2(dp/B,PE,PE75,1
PEPED103Wi:7-Ui:2(dp/C,PE,PE75,1
PEPED103Wn(dp/B,PE,PE75,1
PEPED103Wn(dp/C,PE,PE75,1
PEPED103Wn(dp/CD,PE,PE75,1
PEPED103Wn:3-Ma:2-Sc:3(dp/BC,PE,PE75,1
PEPED103Wn:3-Ma:3-Po:2(dp/B,PE,PE75,1
PEPED103Wn:3-Sc:3-Cr:2(dp/B,PE,PE75,1
PEPED103Wn:3-Sc:3-Cr:3(dp/BC,PE,PE75,1
PEPED103Wn:3-Sc:3-Ve:2(dp/CB,PE,PE75,1
PEPED103Wn:4-Ch:3-Ma:2(dp/CB,PE,PE75,1
PEPED103Wn:4-Cr:3-Sc:1(dp/BC,PE,PE75,1
PEPED103Wn:4-Ma:3-Sc:1(dp/B,PE,PE75,1
PEPED103Wn:4-Ma:3-Sc:1(dp/C,PE,PE75,1
PEPED103Wn:4-Ma:4(dp/C,PE,PE75,1
PEPED103Wn:4-Ma:4-Sc:1(dp/CB,PE,PE75,1
PEPED103Wn:4-Sc:2-Ma:1(dp/CB,PE,PE75,1
PEPED103Wn:4-Sc:2-Or:2(dp/CB,PE,PE75,1
PEPED103Wn:4-Sm:3(dp/B,PE,PE75,1
PEPED103Wn:4-Ui:2-Sc:1(dp/BC,PE,PE75,1
PEPED103Wn:5-Cr:3-Pi:1(dp/C,PE,PE75,1
PEPED103Wn:5-Cr:3-Rp:2(dp/C,PE,PE75,1
PEPED103Wn:5-Ma:2(dp/B,PE,PE75,1
PEPED103Wn:5-Ma:3(dp/C,PE,PE75,1
PEPED103Wn:5-Ma:3-Sc:1(dp/C,PE,PE75,1
PEPED103Wn:5-Ma:3-Sc:1(dp/CB,PE,PE75,1
PEPED103Wn:5-Ma:4(dp/CB,PE,PE75,1
PEPED103Wn:5-Sc:3-Ma:1(dp/C,PE,PE75,1
PEPED103Wn:5-Sm:2(dp/B,PE,PE75,1
PEPED103Wn:6-Cr:3(dp/B,PE,PE75,1
PEPED103Wn:6-Cr:3(dp/BC,PE,PE75,1
PEPED103Wn:6-Ma:2(dp/B,PE,PE75,1
PEPED103Wn:6-Ma:2(dp/C,PE,PE75,1
PEPED103Wn:6-Ma:2(dp/CB,PE,PE75,1
PEPED103Wn:6-Ma:3(dp/B,PE,PE75,1
PEPED103Wn:6-Ma:3(dp/BC,PE,PE75,1
PEPED103Wn:6-Sc:3(dp/C,PE,PE75,1
PEPED103Wn:6-Ui:2(dp/BC,PE,PE75,1
PEPED103Wn:7-Cr:3(dp/B,PE,PE75,1
PEPED103Wn:7-Cr:3(dp/C,PE,PE75,1
PEPED103Wp(dp/B,PE,PE75,1
PEPED103Wp:3-Db:2-Ha:2/B,PE,PE75,1
PEPED103Wp:3-Lr:2-Bp:2(dp/B,PE,PE75,1
PEPED103Wp:4-Br:2-Hab:1(dp/CB,PE,PE75,1
PEPED103Wp:4-Ha:3-Sp:2(dp/B,PE,PE75,1
PEPED103Wp:5-Db:3(dp/B,PE,PE75,1
PEPED103Wp:5-Lr:3/B,PE,PE75,1
PEPED103Wp:5-Ol:3(dp/B,PE,PE75,1
PEPED103Wp:6-Bp:3(dp/B,PE,PE75,1
PEPED103Wp:6-Sp3(dp/B,PE,PE75,1
PEPED103Wp:6-Sp:3(dp/CB,PE,PE75,1
PEPED103Wp:8-Db:1-Ha:1(dp/BC,PE,PE75,1
PEPED103Wp:8-Db:2(dp/B,PE,PE75,1
PEPED103Wp:8-Sp:2(dp/B,PE,PE75,1
PEPED103ZZ,PE,PE75,1
