latitude,longitude,date,yield,temp,dptemp,relhum,precipamt,windspd,stnpress,raster_value
46.25,-63.12,2024-10-01,43.23,19.21,14.43,61.45,0.2,2.2,104.8,7688
46.25,-63.12,2024-10-02,30.85,17.94,6.48,73.09,7.28,7.22,103.27,7688
46.25,-63.12,2024-10-03,45.0,19.95,14.07,65.46,3.39,12.97,102.14,7688
46.25,-63.12,2024-10-04,39.63,20.53,7.91,67.24,1.37,13.7,101.53,7688
46.25,-63.12,2024-10-05,35.51,14.79,9.65,88.18,4.94,13.31,101.0,7688
46.25,-63.12,2024-10-06,47.92,13.81,5.62,95.42,3.56,1.6,100.27,7688
46.25,-63.12,2024-10-07,43.89,21.81,7.46,53.62,7.68,3.45,104.26,7688
46.25,-63.12,2024-10-08,37.99,20.73,5.32,94.03,7.6,5.68,103.93,7688
46.25,-63.12,2024-10-09,41.36,20.33,8.76,94.32,8.42,11.42,101.66,7688
46.25,-63.12,2024-10-10,42.33,22.96,14.01,68.23,6.49,12.39,104.61,7688
46.25,-63.12,2024-10-11,36.65,20.05,9.96,86.47,4.51,6.05,103.23,7688
46.25,-63.12,2024-10-12,45.12,16.7,6.22,98.03,3.67,6.21,102.51,7688
46.25,-63.12,2024-10-13,40.7,23.31,8.91,65.71,6.26,0.74,103.17,7688
46.25,-63.12,2024-10-14,39.42,18.19,9.33,76.04,1.29,11.09,100.03,7688
46.25,-63.12,2024-10-15,43.58,11.36,6.3,77.97,4.69,13.92,101.79,7688
46.25,-63.12,2024-10-16,42.97,15.65,9.03,61.23,5.73,2.06,103.03,7688
46.25,-63.12,2024-10-17,44.79,20.62,8.36,88.78,9.8,14.4,102.61,7688
46.25,-63.12,2024-10-18,47.21,20.19,14.55,73.25,4.74,10.91,101.95,7688
46.25,-63.12,2024-10-19,43.16,20.03,9.31,89.04,0.21,7.64,103.07,7688
46.25,-63.12,2024-10-20,35.31,24.83,11.53,55.64,0.62,8.92,104.08,7688
46.25,-63.12,2024-10-21,33.85,11.83,13.69,51.46,8.9,14.12,100.79,7688
46.25,-63.12,2024-10-22,34.35,19.35,5.62,53.07,6.49,4.97,103.73,7688
46.25,-63.12,2024-10-23,30.87,24.17,7.54,86.94,4.95,10.38,102.98,7688
46.25,-63.12,2024-10-24,30.46,10.69,12.67,67.54,9.77,6.5,102.3,7688
46.25,-63.12,2024-10-25,49.38,16.08,7.98,92.59,1.85,15.0,101.22,7688
46.25,-63.12,2024-10-26,39.98,13.36,10.66,94.32,0.09,4.38,100.41,7688
46.25,-63.12,2024-10-27,30.81,18.59,14.9,90.87,1.4,9.31,103.78,7688
46.25,-63.12,2024-10-28,47.87,13.45,13.77,91.58,2.14,7.31,101.23,7688
46.25,-63.12,2024-10-29,34.29,20.99,14.67,87.01,4.32,8.47,103.84,7688
46.25,-63.12,2024-10-30,30.85,11.53,8.24,95.7,5.0,12.48,102.23,7688
46.25,-63.12,2024-10-31,43.09,24.17,6.26,67.51,3.75,2.01,102.7,7688
46.28,-63.15,2024-10-01,44.69,12.53,6.33,79.36,2.51,8.24,103.68,7688
46.28,-63.15,2024-10-02,41.08,22.72,14.21,51.43,4.19,7.23,104.25,7688
46.28,-63.15,2024-10-03,47.66,18.73,9.4,82.06,7.47,5.49,101.61,7688
46.28,-63.15,2024-10-04,37.48,11.28,12.13,71.26,0.74,4.67,101.12,7688
46.28,-63.15,2024-10-05,39.09,17.04,8.84,62.1,9.55,2.1,103.37,7688
46.28,-63.15,2024-10-06,42.91,13.54,14.43,97.9,5.87,4.26,100.05,7688
46.28,-63.15,2024-10-07,31.87,12.46,6.24,60.84,1.0,12.37,102.0,7688
46.28,-63.15,2024-10-08,34.74,21.65,9.32,79.34,0.93,8.66,103.55,7688
46.28,-63.15,2024-10-09,41.74,15.19,14.84,89.18,8.93,13.52,100.18,7688
46.28,-63.15,2024-10-10,46.68,22.82,6.72,90.24,3.5,11.25,103.23,7688
46.28,-63.15,2024-10-11,34.2,17.74,13.51,77.98,9.9,8.61,104.88,7688
46.28,-63.15,2024-10-12,30.8,17.26,13.89,70.56,9.52,10.01,104.33,7688
46.28,-63.15,2024-10-13,48.0,15.04,11.68,73.46,9.24,11.23,104.67,7688
46.28,-63.15,2024-10-14,36.82,14.45,14.04,80.38,7.76,14.07,102.76,7688
46.28,-63.15,2024-10-15,43.21,16.01,8.1,70.35,4.59,4.5,100.79,7688
46.28,-63.15,2024-10-16,31.07,19.04,8.27,78.53,3.65,12.12,100.91,7688
46.28,-63.15,2024-10-17,49.65,13.91,6.08,57.39,2.31,4.24,104.02,7688
46.28,-63.15,2024-10-18,33.22,21.19,7.27,71.44,7.75,9.92,104.37,7688
46.28,-63.15,2024-10-19,32.15,16.07,7.51,54.25,4.61,0.48,101.75,7688
46.28,-63.15,2024-10-20,33.01,21.3,5.23,53.4,8.72,0.79,102.22,7688
46.28,-63.15,2024-10-21,35.85,15.16,12.44,96.73,5.05,0.17,103.19,7688
46.28,-63.15,2024-10-22,32.27,21.21,9.1,51.4,2.1,8.51,102.41,7688
46.28,-63.15,2024-10-23,35.53,20.16,10.8,52.9,3.57,8.16,101.62,7688
46.28,-63.15,2024-10-24,35.38,13.3,9.42,92.19,1.73,0.93,101.97,7688
46.28,-63.15,2024-10-25,49.43,11.86,9.8,85.2,8.41,5.61,101.33,7688
46.28,-63.15,2024-10-26,35.52,19.81,13.27,61.17,7.13,1.15,100.99,7688
46.28,-63.15,2024-10-27,49.34,11.91,12.95,75.9,6.01,8.99,101.91,7688
46.28,-63.15,2024-10-28,34.94,17.22,8.58,85.31,8.55,3.79,100.45,7688
46.28,-63.15,2024-10-29,32.41,18.23,5.55,57.33,6.41,3.12,102.24,7688
46.28,-63.15,2024-10-30,40.37,17.64,13.4,52.59,1.62,14.24,103.8,7688
46.28,-63.15,2024-10-31,35.58,17.57,6.16,87.67,1.51,8.93,100.58,7688
46.3,-63.18,2024-10-01,46.34,21.13,5.83,81.98,4.54,13.46,104.54,7688
46.3,-63.18,2024-10-02,48.08,13.84,8.01,90.79,8.58,3.16,104.69,7688
46.3,-63.18,2024-10-03,41.74,10.08,9.8,80.03,6.35,14.21,101.08,7688
46.3,-63.18,2024-10-04,31.86,13.39,9.75,85.67,2.42,9.64,101.51,7688
46.3,-63.18,2024-10-05,30.27,22.06,10.85,58.27,5.25,1.94,101.29,7688
46.3,-63.18,2024-10-06,34.64,20.21,5.49,51.81,0.4,14.78,101.0,7688
46.3,-63.18,2024-10-07,43.23,20.76,13.31,90.59,8.91,11.24,103.26,7688
46.3,-63.18,2024-10-08,30.41,12.05,10.67,88.1,6.31,1.61,103.5,7688
46.3,-63.18,2024-10-09,36.94,15.13,10.25,87.23,7.47,2.8,104.83,7688
46.3,-63.18,2024-10-10,38.51,20.99,12.32,99.38,2.3,12.26,104.11,7688
46.3,-63.18,2024-10-11,34.05,22.06,11.9,54.13,9.97,8.57,102.02,7688
46.3,-63.18,2024-10-12,44.34,23.79,6.31,59.78,1.34,9.75,100.58,7688
46.3,-63.18,2024-10-13,40.97,22.05,7.39,54.88,1.46,9.2,102.0,7688
46.3,-63.18,2024-10-14,47.8,22.47,5.9,72.41,7.26,7.6,102.92,7688
46.3,-63.18,2024-10-15,35.97,18.52,8.75,87.82,1.1,5.68,102.26,7688
46.3,-63.18,2024-10-16,32.71,22.44,8.04,82.76,6.02,10.87,102.2,7688
46.3,-63.18,2024-10-17,30.25,23.14,7.55,99.41,0.76,0.7,104.68,7688
46.3,-63.18,2024-10-18,34.54,24.18,5.6,94.77,6.06,0.88,100.26,7688
46.3,-63.18,2024-10-19,44.67,22.88,9.02,50.03,3.46,2.21,100.8,7688
46.3,-63.18,2024-10-20,31.01,13.96,13.65,56.23,4.82,12.72,104.6,7688
46.3,-63.18,2024-10-21,31.49,16.61,8.99,73.85,4.44,4.99,104.38,7688
46.3,-63.18,2024-10-22,38.9,16.13,13.21,74.85,4.46,1.7,104.97,7688
46.3,-63.18,2024-10-23,30.05,19.19,5.74,85.06,3.45,4.25,104.09,7688
46.3,-63.18,2024-10-24,30.13,17.1,8.78,78.33,7.06,1.55,101.79,7688
46.3,-63.18,2024-10-25,45.55,14.51,14.71,93.85,8.32,3.6,101.23,7688
46.3,-63.18,2024-10-26,40.18,23.87,9.61,89.69,3.21,7.7,101.17,7688
46.3,-63.18,2024-10-27,48.28,22.83,10.97,58.9,1.67,12.11,101.17,7688
46.3,-63.18,2024-10-28,35.54,14.38,14.96,64.98,9.5,0.19,102.62,7688
46.3,-63.18,2024-10-29,45.13,22.25,14.41,69.26,0.36,5.46,103.64,7688
46.3,-63.18,2024-10-30,37.53,23.69,11.68,94.17,5.55,9.34,104.47,7688
46.3,-63.18,2024-10-31,32.5,15.73,8.59,56.68,5.55,12.48,101.44,7688
46.35,-63.2,2024-10-01,46.29,13.73,5.36,98.99,6.09,10.34,102.63,7688
46.35,-63.2,2024-10-02,43.29,23.26,10.43,55.64,1.53,6.88,102.72,7688
46.35,-63.2,2024-10-03,39.12,22.97,9.09,69.96,2.07,1.84,103.23,7688
46.35,-63.2,2024-10-04,42.27,24.2,11.26,79.59,4.07,2.35,101.86,7688
46.35,-63.2,2024-10-05,31.95,14.87,13.19,63.74,9.97,2.04,100.97,7688
46.35,-63.2,2024-10-06,30.33,15.56,13.12,90.8,2.43,4.92,102.21,7688
46.35,-63.2,2024-10-07,36.63,17.1,7.14,97.69,8.24,6.4,101.95,7688
46.35,-63.2,2024-10-08,32.01,15.28,7.34,66.82,9.93,14.2,104.59,7688
46.35,-63.2,2024-10-09,41.21,13.43,7.1,76.38,8.71,6.7,101.32,7688
46.35,-63.2,2024-10-10,43.19,22.39,13.21,63.79,0.49,5.44,102.86,7688
46.35,-63.2,2024-10-11,41.99,24.0,8.17,80.32,1.02,9.45,102.98,7688
46.35,-63.2,2024-10-12,32.11,24.04,5.92,83.97,2.9,3.48,104.89,7688
46.35,-63.2,2024-10-13,43.27,24.7,6.65,53.73,4.38,10.41,101.3,7688
46.35,-63.2,2024-10-14,35.03,16.71,11.39,98.77,4.84,8.7,101.94,7688
46.35,-63.2,2024-10-15,34.92,15.51,6.96,86.15,0.54,6.6,100.44,7688
46.35,-63.2,2024-10-16,47.24,12.99,9.18,71.04,9.77,6.64,101.42,7688
46.35,-63.2,2024-10-17,45.65,19.11,14.14,91.65,0.7,4.09,100.06,7688
46.35,-63.2,2024-10-18,41.6,17.13,6.62,67.86,3.17,8.66,103.67,7688
46.35,-63.2,2024-10-19,41.97,22.3,8.62,58.72,7.04,1.33,100.71,7688
46.35,-63.2,2024-10-20,43.04,13.59,9.19,88.23,1.77,9.91,103.71,7688
46.35,-63.2,2024-10-21,32.88,11.23,5.41,50.34,9.25,4.32,100.79,7688
46.35,-63.2,2024-10-22,32.84,22.68,8.74,88.98,8.19,3.45,103.12,7688
46.35,-63.2,2024-10-23,44.82,15.72,8.32,61.28,7.79,8.33,100.78,7688
46.35,-63.2,2024-10-24,30.29,17.94,8.4,86.88,5.3,8.42,100.19,7688
46.35,-63.2,2024-10-25,42.59,22.95,7.56,68.39,6.02,13.67,104.82,7688
46.35,-63.2,2024-10-26,35.41,11.34,13.24,60.1,8.34,11.54,100.81,7688
46.35,-63.2,2024-10-27,40.14,20.34,7.97,92.1,0.67,7.38,100.24,7688
46.35,-63.2,2024-10-28,44.55,19.46,7.87,91.54,5.66,11.48,101.31,7688
46.35,-63.2,2024-10-29,39.24,24.67,5.59,94.75,2.69,3.29,104.2,7688
46.35,-63.2,2024-10-30,34.71,24.39,8.55,57.18,2.16,5.04,100.72,7688
46.35,-63.2,2024-10-31,44.41,14.3,14.82,77.42,5.58,4.11,101.5,7688
46.4,-63.25,2024-10-01,38.23,16.61,13.04,98.61,1.74,11.12,102.13,7688
46.4,-63.25,2024-10-02,36.61,15.37,13.08,83.72,2.59,4.88,100.61,7688
46.4,-63.25,2024-10-03,31.31,16.08,8.31,90.7,4.93,12.29,100.16,7688
46.4,-63.25,2024-10-04,33.67,19.23,7.65,61.11,0.23,3.84,102.21,7688
46.4,-63.25,2024-10-05,39.67,21.41,8.04,75.51,4.56,11.12,102.55,7688
46.4,-63.25,2024-10-06,39.21,24.69,14.47,57.2,4.36,3.98,102.16,7688
46.4,-63.25,2024-10-07,42.14,22.91,11.84,90.73,8.59,13.06,101.06,7688
46.4,-63.25,2024-10-08,45.32,10.06,10.12,87.06,1.4,11.68,101.07,7688
46.4,-63.25,2024-10-09,42.65,22.05,10.15,55.81,5.85,5.7,103.28,7688
46.4,-63.25,2024-10-10,35.05,12.97,12.66,90.91,7.52,10.88,101.87,7688
46.4,-63.25,2024-10-11,49.73,11.9,11.92,75.24,9.73,5.01,102.83,7688
46.4,-63.25,2024-10-12,41.18,22.2,12.35,72.3,2.58,8.86,101.79,7688
46.4,-63.25,2024-10-13,41.4,17.65,7.14,91.5,1.49,0.28,103.31,7688
46.4,-63.25,2024-10-14,36.44,16.47,5.91,52.05,5.9,10.97,103.11,7688
46.4,-63.25,2024-10-15,42.9,20.67,5.51,62.67,0.26,12.77,104.82,7688
46.4,-63.25,2024-10-16,49.72,21.19,10.99,78.98,3.95,6.73,103.89,7688
46.4,-63.25,2024-10-17,33.34,21.11,11.97,67.14,3.16,11.27,104.34,7688
46.4,-63.25,2024-10-18,34.66,16.05,13.02,86.12,2.55,5.99,102.17,7688
46.4,-63.25,2024-10-19,34.17,21.68,10.81,62.15,7.96,7.36,102.77,7688
46.4,-63.25,2024-10-20,35.85,12.01,8.7,50.21,1.31,2.25,104.16,7688
46.4,-63.25,2024-10-21,45.83,11.28,9.77,54.27,8.23,11.99,101.66,7688
46.4,-63.25,2024-10-22,44.44,22.7,13.36,64.77,3.4,5.91,102.78,7688
46.4,-63.25,2024-10-23,44.7,21.63,9.06,76.22,3.42,4.39,104.1,7688
46.4,-63.25,2024-10-24,40.09,21.17,8.65,82.73,8.26,11.94,101.63,7688
46.4,-63.25,2024-10-25,36.96,11.17,13.67,96.25,9.73,4.72,100.51,7688
46.4,-63.25,2024-10-26,35.65,19.15,7.27,81.78,6.98,11.92,101.8,7688
46.4,-63.25,2024-10-27,47.76,22.66,6.08,97.57,2.28,7.66,100.59,7688
46.4,-63.25,2024-10-28,39.75,12.43,14.92,94.87,0.26,7.4,100.37,7688
46.4,-63.25,2024-10-29,45.29,10.92,10.69,53.53,0.59,14.46,100.39,7688
46.4,-63.25,2024-10-30,42.95,21.4,11.02,53.82,1.22,0.73,103.46,7688
46.4,-63.25,2024-10-31,31.41,11.49,11.82,87.71,8.04,4.11,100.53,7688
